id,scene,purpose,source_url,source_title,creator,license,license_url,permission_status,start_time,end_time,duration,shot_description,why_needed,download_status,clip_status,provenance_status,final_use,notes
SHOT-001,SCENE 01 — REAL-WORLD PROBLEM,apiary wide shot,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130522-NRCS-LSC-0226-v6).webm,People's Garden Apiary and Pollinator Garden (20130522-NRCS-LSC-0226-v6),USDA Natural Resources Conservation Service / Wayne Bogovich & Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:01:23.000,00:01:26.500,3.5,Establishing wide panoramic view of dual Langstroth multi-super beehives situated on gravel rooftop apiary at USDA headquarters under open sky.,Establishes commercial apiary physical setting and outdoor operational environment prior to hive intervention.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: 7488ff0ca1dc5716a56a2b1ca5b66dbc833a468ed74f29f0a752ba09c3dd830c. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
SHOT-002,SCENE 01 — REAL-WORLD PROBLEM,beekeeper approaching hive,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130522-NRCS-LSC-0226-v6).webm,People's Garden Apiary and Pollinator Garden (20130522-NRCS-LSC-0226-v6),USDA Natural Resources Conservation Service / Wayne Bogovich & Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:01:26.500,00:01:30.500,4.0,"Beekeeper in full white protective bee suit, helmet veil, and leather gloves carries smoker and hive tool across the gravel toward the active colony.",Demonstrates human physical presence and the manual overhead involved in conventional apiary monitoring.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: 09651dd369fda0314a68eeeed71867e7d46d51a2c2a7cd0cebcb35edfa73f148. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
SHOT-003,SCENE 01 — REAL-WORLD PROBLEM,smoker / hive preparation,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130522-NRCS-LSC-0226-v6).webm,People's Garden Apiary and Pollinator Garden (20130522-NRCS-LSC-0226-v6),USDA Natural Resources Conservation Service / Wayne Bogovich & Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:01:10.500,00:01:14.000,3.5,"Close-up macro of beekeeper loading dry pine needles into the combustion chamber of the stainless-steel bee smoker, pumping bellows as smoke rises.",Illustrates traditional smoke pacification procedure used by apiarists to suppress alarm pheromones before invasive inspection.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: 21a4a78e823ca413c8db03b45bcc0d1de8184efde52aec2c9131356cb6422fa3. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
SHOT-004,SCENE 01 — REAL-WORLD PROBLEM,opening hive,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130522-NRCS-LSC-0226-v6).webm,People's Garden Apiary and Pollinator Garden (20130522-NRCS-LSC-0226-v6),USDA Natural Resources Conservation Service / Wayne Bogovich & Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:01:44.000,00:01:47.500,3.5,"Beekeeper unseals inner cover of the upper Langstroth box with a hive tool, puffing tranquilizing smoke into the seam to access the colony.",Documents the physical disturbance caused to hive microclimate and colony stress during manual inspections.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: 09864365fc941db6f35be723b17407a7dba20c02a6a2887d6831ca9b8f8c1039. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
SHOT-005,SCENE 01 — REAL-WORLD PROBLEM,removing frame,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130522-NRCS-LSC-0226-v6).webm,People's Garden Apiary and Pollinator Garden (20130522-NRCS-LSC-0226-v6),USDA Natural Resources Conservation Service / Wayne Bogovich & Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:02:04.500,00:02:08.500,4.0,Direct overhead POV into the open Langstroth hive body as beekeeper pries propolis seal and lifts deep wooden brood frame vertically out of the rack.,Visually communicates manual frame extraction required to evaluate internal colony health under status-quo management.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: e41bb5938748b9e74ca7bc16407942326e88cdfb34436152e09eea7ded3a320d. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
SHOT-006,SCENE 01 — REAL-WORLD PROBLEM,close-up inspection,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130917-NRCS-LSC-9001).webm,People's Garden Apiary and Pollinator Garden (20130917-NRCS-LSC-9001),USDA Natural Resources Conservation Service / Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:00:08.000,00:00:12.000,4.0,"1080p close-up of active Italian honeybees arriving at the hive bottom entrance board, exhibiting heavy traffic and pollen foraging behavior.",Contrasts external activity observation against the hidden internal state of brood health and colony thermoregulation.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: cad92b94ee2116e87bb7135dc20f5111c5b4bdb9dd437fe54e0f3525b0b4171f. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
SHOT-007,SCENE 01 — REAL-WORLD PROBLEM,brood / bees / frame,https://commons.wikimedia.org/wiki/File:People%27s_Garden_Apiary_and_Pollinator_Garden_(20130522-NRCS-LSC-0226-v6).webm,People's Garden Apiary and Pollinator Garden (20130522-NRCS-LSC-0226-v6),USDA Natural Resources Conservation Service / Wayne Bogovich & Lance Cheung,Public Domain (17 U.S.C. § 105),https://www.usa.gov/government-works,APPROVED,00:02:35.000,00:02:39.000,4.0,"High-definition macro video of nurse and worker honeybees crawling over capped brood cells, actively fanning wings and attending developing pupae.",Provides visual proof of the biological target: the brood nest cluster whose acoustic signals and 35°C core temp BEEVIL measures.,DOWNLOADED,EXTRACTED,VERIFIED,SCENE_01,SHA256: 60f32d57b796d272b2967dd2c7598eff022d548270b804d5075c8196b8c2365c. 1920x1080 @ 24fps H.264/AAC. Tagged: FIELD CONTEXT.
CAND-YT-001,SCENE 01 — REAL-WORLD PROBLEM,beekeeper commercial hive opening,https://www.youtube.com/watch?v=faQO5Tm-P7g,"Hive 1 Inspection - Marking the New Queen | Backyard Beekeeping in North Port, Florida",Buzzing Bees & Critter Cams,Standard YouTube License (Copyright),https://www.youtube.com/static?template=terms,LICENSE_REQUIRED,01:45,01:58,13.0,Beekeeper opening commercial 10-frame hive and pulling deep frame to search for queen.,Candidate alternative for commercial apiary inspection workflow.,BLOCKED,BLOCKED,LICENSE_GATE_REJECTED,BLOCKED_FROM_PRODUCTION,Blocked by Phase 13 License Gate: Standard YouTube license without explicit CC reuse terms. Cannot redistribute.
CAND-YT-002,SCENE 01 — REAL-WORLD PROBLEM,commercial apiary wide tractor shot,https://www.youtube.com/watch?v=BoG8ib35CFM,Conversion Hive 6 1/2 Week Inspection - 9/15/2021,Suburban Sodbuster,Standard YouTube License (Copyright),https://www.youtube.com/static?template=terms,LICENSE_REQUIRED,00:30,00:42,12.0,Apiary wide view showing commercial pollination hives on pallets.,Candidate establishing wide shot of industrial pollination setup.,BLOCKED,BLOCKED,LICENSE_GATE_REJECTED,BLOCKED_FROM_PRODUCTION,Blocked by Phase 13 License Gate: Commercial proprietary copyright; creator permission required.
CAND-YT-003,SCENE 01 — REAL-WORLD PROBLEM,varroa mite frame close-up,https://www.youtube.com/watch?v=7FutiKSymzk,"Hive 2 Inspection and Maintenance | Backyard Beekeeping in North Port, Florida",Buzzing Bees & Critter Cams,Standard YouTube License (Copyright),https://www.youtube.com/static?template=terms,LICENSE_REQUIRED,03:12,03:22,10.0,Extreme close-up of brood frame showing mite symptoms.,Candidate close-up for colony health distress symptoms.,BLOCKED,BLOCKED,LICENSE_GATE_REJECTED,BLOCKED_FROM_PRODUCTION,Blocked by Phase 13 License Gate: Standard YouTube License. Proprietary creator rights.
