WhatsApp Item,Engineering Meaning,Repository Evidence,Report Section,Must Mention?,Status
"No custom PCB across transmitter and receiver","Modular COTS WisBlock baseboard (RAK5005-O) + Raspberry Pi 3B+ with Waveshare LoRa HAT integrated with solderless spring terminals; zero custom PCB fabricated.","hardware/BOM_AND_PINOUT.md, docs/CANONICAL_BOM.md",System + Hardware,YES,COVERED
"AI workflow vs hardware design","AI-assisted engineering was leveraged for analytical modeling, firmware optimization, and test generation; all hardware component selection, wiring, and modular integration were human-engineered by the team.","docs/HART_2PAGE_CONTRADICTIONS.md, docs/DATA_PROVENANCE.md",AI / ML Contribution,YES,COVERED
"Temperature sensing is strictly required by HART","Temperature is the primary measurable physical parameter; brood nest core RTD and 5-probe thermal grid must be central.","firmware/src/main.cpp:209, docs/CANONICAL_BOM.md",Temperature + Sensing Pipeline,YES,COVERED
"No COTS readers allowed for HART","Engineered custom gateway receiver on Raspberry Pi 3B+ with dedicated SPI SX1262 LoRa HAT satisfying competition rules.","gateway/gateway_receiver.py, docs/HARDWARE_ARCHITECTURE.md",Wireless + Reader,YES,COVERED
"System is a bench prototype not field deployed","Current hardware is an evaluation bench prototype; real-world hive deployment is a target/proposed phase.","docs/HARDWARE_BRINGUP_REPORT.md, README.md:14",Abstract + Limitations,YES,COVERED
"Microphone and bio-acoustics provide early swarm warning","Acoustic wingbeat FFT in the 200-400 Hz band provides pre-symptomatic swarming and queen distress alerts.","README.md:93, tests/test_firmware_telemetry.py:165",Acoustic DSP Pipeline,YES,COVERED
"Multi-sensor array for holistic hive telemetry","Contextual enrichment via SCD41 CO2, BME688 VOC/RH, HX711 scale, VEML7700 lux, and LIS3DH tamper.","firmware/src/main.cpp:205, docs/CANONICAL_BOM.md",System + Hardware,YES,COVERED
"Sub-GHz wireless range and link budget","IN865 LoRa (865.0625 MHz, SF7, +14 dBm) provides 4.2 km calculated LOS link budget with 26.16 dB margin.","scripts/create_simulink_models.py, docs/IEEE_HART_Phase2_Project_Description.md",Wireless + Reader,YES,COVERED
"Multi-year power autonomy with solar harvesting","18 uA deep-sleep current and 0.85 mWh/day energy consumption powered by 1S LiPo + solar harvesting.","firmware/config/battery_config.h:18, docs/IEEE_HART_Phase2_Project_Description.md",System + Hardware,YES,COVERED
"Never fabricate sensor measurements","Unconnected sensors report NOT_CONNECTED with -9999/0xFFFF sentinels; zero fake sine waves or placeholder values.","docs/DATA_PROVENANCE.md, firmware/src/main.cpp:15",Validation + Provenance,YES,COVERED
"Comprehensive engineering simulation","Ansys Maxwell RF S11 (-22.4 dB), Fluent CFD thermal retention, and 8 MATLAB/Simulink models.","docs/IEEE_HART_ANSYS_SIMULATION_DOSSIER.md, scripts/create_simulink_models.py",Simulation + Results,YES,COVERED
"Strict 2-page limit for Phase 2 submission","Information-dense layout with 4 compact vector figures, dense tables, and concise evidence-tagged text.","submission/hart_phase2_report.tex",Entire Document,YES,COVERED
